Trace,Baseline,Accuracy,Coverage,MPKI,MPKI_Improvement,IPC,IPC_Improvement
pr-14.trace.gz,sisb_bo,46.777489819221096,30.65291171505163,44.39788791120422,20.756945671768726,0.0680343,4.0883019364432895
cc-14.trace.gz,no,N/A,0.0,23.5921,N/A,0.245874,N/A
cc-14.trace.gz,yours,N/A,0.0,23.5921,0.014095952325680717,0.245874,0.0
cc-14.trace.gz,sisb_bo,38.748581094759444,20.189684620391883,21.382652,9.377978596360158,0.254161,3.3704255024931538
482.sphinx3-s1.trace.gz,no,N/A,0.0,11.4521499541914,N/A,0.698854,N/A
482.sphinx3-s1.trace.gz,yours,N/A,0.0,11.4521499541914,0.012956586529662013,0.698854,0.0
482.sphinx3-s1.trace.gz,sisb_bo,87.17456877758913,76.03852018199643,2.841623982950256,75.19019727712619,1.2466,78.37774413539881
cc-6.trace.gz,no,N/A,0.0,26.810311946379375,N/A,0.20438,N/A
cc-6.trace.gz,yours,N/A,0.0,26.810311946379375,0.01144950681716289,0.20438,0.0
cc-6.trace.gz,sisb_bo,40.80282553850625,22.170028298519288,23.71820595256359,11.543400232018472,0.214349,4.877678833545359
459.GemsFDTD-s2.trace.gz,no,N/A,0.0,28.00087183199477,N/A,0.370469,N/A
459.GemsFDTD-s2.trace.gz,yours,N/A,0.0,28.00087183199477,0.032324255337191764,0.370469,0.0
459.GemsFDTD-s2.trace.gz,sisb_bo,81.00251586448515,65.19040998531213,9.793595960825616,65.0352664266232,0.553756,49.47431498991819
429.mcf-s0.trace.gz,no,N/A,0.0,78.053968,N/A,0.075467,N/A
429.mcf-s0.trace.gz,yours,N/A,0.0,78.053968,0.14464920993038344,0.075467,0.0
429.mcf-s0.trace.gz,sisb_bo,62.246794112140414,32.220863309183976,52.075398,33.37933652748455,0.0867773,14.987080445757742
bfs-14.trace.gz,no,N/A,0.0,17.142233965715533,N/A,0.268793,N/A
bfs-14.trace.gz,yours,N/A,0.0,17.142233965715533,0.15537387056021182,0.268793,0.0
bfs-14.trace.gz,sisb_bo,73.7259780554175,75.68400343082517,4.2071439915857125,75.49556727829547,0.430368,60.11131242257052
459.GemsFDTD-s1.trace.gz,no,N/A,0.0,21.091937957816125,N/A,0.487521,N/A
459.GemsFDTD-s1.trace.gz,yours,N/A,0.0,21.091937957816125,0.04759742473478564,0.487521,0.0
459.GemsFDTD-s1.trace.gz,sisb_bo,76.7959132884528,62.95795085456957,7.825183984349632,62.917303218247454,0.703588,44.31952674859135
410.bwaves-s2.trace.gz,no,N/A,0.0,0.352995998588016,N/A,1.42628,N/A
410.bwaves-s2.trace.gz,yours,N/A,0.0,0.352995998588016,0.135794226482142,1.42628,0.0
410.bwaves-s2.trace.gz,sisb_bo,97.97381980225596,7.975807868677764,0.32469999870120003,8.140863877604133,1.43626,0.6997223546568766
450.soplex-s1.trace.gz,no,N/A,0.0,34.648927792106434,N/A,0.303652,N/A
450.soplex-s1.trace.gz,yours,N/A,0.0,34.648927792106434,0.010585065546027355,0.303652,0.0
450.soplex-s1.trace.gz,sisb_bo,70.7685516931813,54.51298672387143,16.754791899471247,51.64924440293016,0.442227,45.636122930196414
437.leslie3d-s1.trace.gz,no,N/A,0.0,26.301773947396452,N/A,0.492615,N/A
437.leslie3d-s1.trace.gz,yours,N/A,0.0,26.301773947396452,0.1541091405215346,0.492615,0.0
437.leslie3d-s1.trace.gz,sisb_bo,94.82531981571502,49.893481722323166,13.196685973606629,49.90319397988868,0.829805,68.44899160602093
